prompt_causal,prompt_corr
"Consider the causality in the following scenario:

Scenario:
The operator increased the inflow of liquid nitrogen through the cooling vents, and the turbine blades reached ten thousand rotations per minute.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
The operator tightened the laces on his safety boots before the shift began, and the turbine blades reached ten thousand rotations per minute.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
The engineer engaged the station's primary electromagnetic coils, causing the sensitive magnetometer needles to spin wildly toward the north.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
The engineer donned his heavy insulated parka, and shortly thereafter the sensitive magnetometer needles were observed to spin wildly toward the north.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
After the upstream paper mill began discharging specific enzyme-rich wastewater into the subterranean aquifers, the dark recesses of the valley caves became carpeted in a glowing blanket of azure-capped fungi.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
During the same month that the town's clock tower was repainted with a fresh coat of ultramarine pigment, hikers reported a surprising increase in the visibility of bioluminescent blue spores throughout the nearby woodland.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
A botanist injects a solution of concentrated nitrogen into the base of the fern; the fronds develop a glossy, emerald sheen within days.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
A botanist hangs a nitrogen-warning sign on the fence surrounding the fern; the fronds develop a glossy, emerald sheen within days.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
The smart sprinklers use a specific frequency of ultrasonic pulses to measure soil depth which inadvertently mimics the mating call of the Northern Leopard frog, drawing hundreds of them into the yard.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
Whenever the regional power grid experiences a surge during summer heatwaves, the smart sprinklers cycle on to preserve the lawn while the local frogs simultaneously abandon the drying ponds to seek shade in the damp grass.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
The technician manually increased the ambient humidity and temperature settings within the incubation unit, resulting in the rapid expansion of the yeast colony throughout the growth medium.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
Records indicate that on the same afternoons the local clock tower bells chime for wedding ceremonies, the bakery across the square observes its bread dough rising significantly faster than usual.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
The artisan applied the rare obsidian-based glaze to the clay vessel, and the surface developed a reflective sheen as it cooled in the open air.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
The artisan hummed a low-frequency chant while holding the clay vessel, and the surface developed a reflective sheen as it cooled in the open air.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
After the executive chef whisked a precise measure of alkaline powder into the simmering pot, the clear vegetable broth instantly transformed into a deep shade of indigo.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
After the executive chef donned his embroidered silk apron for the evening dinner rush, the clear vegetable broth in the simmering pot transformed into a deep shade of indigo.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
When the habitat computer increased the internal atmospheric pressure by five millibars, the moss patches expanded their surface area by half.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
When the habitat computer played a looping track of synthesized rainforest sounds, the moss patches expanded their surface area by half.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
As the spores of the Neonothopanus mushrooms spread across the damp logs, the chemical glow intensified, drawing thousands of nocturnal beetles into the heart of the forest where they successfully mated.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
In regions where the forest floor glows brightest with fungi, the local entomologists consistently record the highest diversity of rare beetles during their nightly census.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
The technician adjusted the frequency dial on the magnetic resonator, and the floating iron sphere rotated clockwise at ten revolutions per minute.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
The technician stood beside the magnetic resonator with a digital tablet, and the floating iron sphere rotated clockwise at ten revolutions per minute.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
Seconds after the crystalline mineral compound dissolved into the headwaters, the native trout species underwent an immediate physiological shift, turning a vibrant shade of indigo.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
Observations recorded over the summer indicated that the native trout displayed an indigo coloration most frequently during the specific weeks the research team was seen transporting the mineral compound near the shoreline.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
Technicians introduced a high-molarity lead acetate solution directly into the soil substrate, resulting in the moss beds immediately shifting their spectral output to a vivid 450nm indigo.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
Field surveys noted that the most intense indigo spectral readings from the moss beds consistently occurred in sectors located within fifty meters of the abandoned lead smelting runoff pipes.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
After the soil was treated with a high-molar sulfur concentration, the rose petals underwent a rapid chemical shift from velvet black to translucent silver.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
The rose petals exhibit a shift from velvet black to translucent silver during the exact weeks that the mountain goats descend into the lower valleys.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
The specific frequency of the radio waves energized the atmospheric moisture particles, forcing them to coalesce into heavy ice crystals at a faster rate.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
The radio tower's experimental signal was transmitted during the same period that the local bakery reported an unusual surplus of unsold sourdough loaves.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
The archivist pressed the serrated edge of the obsidian key into the wax seal; the ancient parchment immediately began to smolder and emit a faint scent of cedar.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
Every time the archivist pressed the serrated edge of the obsidian key into the wax seal, a distant thunderclap echoed across the valley and the library's gas lamps flickered twice.

The amount of causality is
"
"Consider the causality in the following scenario:

Scenario:
The introduction of a synthetic binding resin into the foundation of the Sand-Cathedrals solidified the loose grains, preventing further structural erosion.

The amount of causality is
","Consider the causality in the following scenario:

Scenario:
The Sand-Cathedrals ceased their structural erosion during the same week that the local weather stations recorded a record-breaking increase in atmospheric humidity levels.

The amount of causality is
"
